accession	reference_type
EPI_ISL_15932800	Genetic
EPI_ISL_18008423	Genetic
EPI_ISL_19628360	Genetic
EPI_ISL_19669151	Genetic
EPI_ISL_15938155	Genetic
EPI_ISL_17776887	Genetic
EPI_ISL_19707889	Genetic
EPI_ISL_18742995	Genetic
EPI_ISL_14854689	Genetic
EPI_ISL_19764258	Genetic
EPI_ISL_18786390	Genetic
EPI_ISL_19778319	Genetic
EPI_ISL_16825343	Genetic
EPI_ISL_17592712	Genetic
EPI_ISL_18374145	Genetic
EPI_ISL_19118445	Genetic
EPI_ISL_17851799	Genetic
EPI_ISL_17674157	Genetic
EPI_ISL_17993849	Genetic
EPI_ISL_17769162	Genetic
EPI_ISL_18022708	Genetic
EPI_ISL_19765078	Genetic
EPI_ISL_17728560	Genetic
EPI_ISL_17092336	Genetic
EPI_ISL_18074148	Genetic
EPI_ISL_18607741	Genetic
EPI_ISL_19290780	Genetic
EPI_ISL_17981875	Genetic
EPI_ISL_19679407	Genetic
EPI_ISL_19255882	Genetic
EPI_ISL_19731627	Genetic
EPI_ISL_18857470	Genetic
EPI_ISL_19647203	Genetic
EPI_ISL_19834924	Genetic
EPI_ISL_19500848	Genetic
EPI_ISL_19560424	Genetic
EPI_ISL_20099449	Genetic
EPI_ISL_19608199	Genetic
EPI_ISL_17559712	Genetic
EPI_ISL_20148711	Genetic
EPI_ISL_19679420	Genetic
EPI_ISL_19669000	Genetic
EPI_ISL_19147513	Genetic
EPI_ISL_19194598	Genetic
EPI_ISL_20075483	Genetic
EPI_ISL_20115139	Genetic
EPI_ISL_20151355	Genetic
EPI_ISL_19093783	Genetic
EPI_ISL_19179069	Genetic
EPI_ISL_19546974	Genetic
EPI_ISL_19680970	Genetic
EPI_ISL_19164362	Genetic
EPI_ISL_20073036	Genetic
EPI_ISL_19779730	Genetic
EPI_ISL_19899828	Genetic
EPI_ISL_20071525	Genetic
EPI_ISL_20091226	Genetic
EPI_ISL_19133188	Genetic
EPI_ISL_19147556	Genetic
EPI_ISL_19669450	Genetic
EPI_ISL_19847862	Genetic
EPI_ISL_19666966	Genetic
EPI_ISL_19407681	Genetic
EPI_ISL_19380571	Genetic
EPI_ISL_19874354	Genetic
EPI_ISL_19345109	Genetic
EPI_ISL_19853061	Genetic
EPI_ISL_19387077	Genetic
EPI_ISL_20079747	Genetic
EPI_ISL_19081389	Genetic
EPI_ISL_19596038	Genetic
EPI_ISL_18856852	Genetic
EPI_ISL_19596029	Genetic
EPI_ISL_19874792	Genetic
EPI_ISL_19870627	Genetic
EPI_ISL_19889680	Genetic
EPI_ISL_20127593	Genetic
EPI_ISL_20128961	Genetic
EPI_ISL_19870572	Genetic
EPI_ISL_20148710	Genetic
EPI_ISL_19907021	Genetic
EPI_ISL_19596064	Genetic
EPI_ISL_19290789	Genetic
EPI_ISL_19621382	Genetic
EPI_ISL_19907461	Genetic
EPI_ISL_19719637	Genetic
EPI_ISL_19291070	Genetic
EPI_ISL_19757418	Genetic
EPI_ISL_20103169	Genetic
EPI_ISL_19026866	Genetic
EPI_ISL_19221428	Genetic
EPI_ISL_20072857	Genetic
EPI_ISL_19829738	Genetic
EPI_ISL_19788830	Genetic
EPI_ISL_20068655	Genetic
EPI_ISL_19867998	Genetic
EPI_ISL_19882553	Genetic
EPI_ISL_17693553	Genetic
EPI_ISL_19873954	Genetic
EPI_ISL_19726483	Genetic
EPI_ISL_18329926	Genetic
EPI_ISL_19878122	Genetic
EPI_ISL_19692892	Genetic
EPI_ISL_19883766	Genetic
EPI_ISL_19719344	Genetic
EPI_ISL_18989429	Genetic
EPI_ISL_19905309	Genetic
EPI_ISL_19940187	Genetic
EPI_ISL_19056350	Genetic
EPI_ISL_19786687	Genetic
EPI_ISL_19544297	Genetic
EPI_ISL_19711404	Genetic
EPI_ISL_19679444	Genetic
EPI_ISL_19679457	Genetic
EPI_ISL_19882231	Genetic
EPI_ISL_19882238	Genetic
EPI_ISL_19882239	Genetic
EPI_ISL_19882236	Genetic
EPI_ISL_19011047	Genetic
EPI_ISL_19631697	Genetic
EPI_ISL_19875221	Genetic
EPI_ISL_19326877	Genetic
EPI_ISL_19854113	Genetic
EPI_ISL_19493793	Genetic
EPI_ISL_19894336	Genetic
EPI_ISL_19779478	Genetic
EPI_ISL_20141779	Genetic
EPI_ISL_19894908	Genetic
EPI_ISL_19898014	Genetic
EPI_ISL_19472376	Genetic
EPI_ISL_19053962	Genetic
